id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Turkey-burritos-298048,Turkey Burritos,4,1200.0,"[Lunch and Snacks, Main Dishes]","[Mexican, Southwestern]","[vegetable oil, red bell pepper, sliced, onions, turkey, hellmann' or best food real mayonnais, prepar salsa, flour tortillas, shredded cheddar cheese]",burrito
Vegan-Breakfast-Burritos-1371562,Vegan Breakfast Burritos,4,1200.0,[Breakfast and Brunch],,"[tofu, nutritional yeast, garlic, tumeric, salt, pepper, frozen hash browns, veggies, salsa, hot sauce, tortillas]",burrito
SPINACH-BURRITOS-How-to-make-a-burrito-1167358,SPINACH BURRITOS-How to make a burrito,4,1200.0,,,"[eggs, baby spinach, burrito size whole wheat tortillas, cheese, olive oil, salt, pepper]",burrito
Greek-Style-Burritos-1377505,Greek-Style Burritos,3,2880.0,[Main Dishes],,"[greek-style vinaigrette, boneless skinless chicken breasts, long grain white rice, lemon zest, flour tortillas, hummus, Athenos Traditional Crumbled Feta Cheese, fresh spinach, nonfat greek yogurt, tomatoes]",burrito
Vegetarian-Burrito-1340164,Vegetarian Burrito,4,2100.0,[Main Dishes],"[Southwestern, Mexican]","[beans, garlic paste, salsa, salt, black pepper, ground cumin, oil, red chili powder, tortillas, guacamole, sour cream, cooked rice, sweet corn, chopped onion, capsicum, tomatoes, lettuce, grating cheese]",burrito
Chicken-burritos-365363,Chicken Burritos,5,1800.0,[Main Dishes],"[Southwestern, Mexican]","[boneless skinless chicken breasts, beans, onions, garlic, tomatoes, olive oil, salt, pepper, chili powder, cumin, jalapeno chilies, cheddar cheese, tortillas, sour cream, salsa]",burrito
Chipotle_s-Chicken-Burrito-1316321,Chipotle's Chicken Burrito,3,1500.0,[Main Dishes],"[Southwestern, Mexican]","[vegetable oil, salsa, chipotle chile, pinto beans, water, rotisserie chicken, cilantro, salt, pepper, tortillas, white rice, monterey jack, romaine lettuce, avocado, roma tomatoes]",burrito
Beef-_-Bean-Chilli-Burritos-1354461,Beef & Bean Chilli Burritos,4,3000.0,[Main Dishes],,"[purple onion, garlic, minced beef, tomatoes, red pepper, smoked paprika, pepper, salt, olive oil, flour tortillas, cheddar cheese]",burrito
Breakfast-Burrito-512247,Breakfast Burrito,5,1500.0,[Breakfast and Brunch],[Mexican],"[olive oil, potatoes, pepper, onions, hot Italian sausages, eggs, milk, flour tortillas, cheddar cheese, salsa]",burrito
Black-Bean-Burger-Breakfast-Burritos-1371004,Black Bean Burger Breakfast Burritos,4,1200.0,[Breakfast and Brunch],,"[veggie burgers, flour tortillas, eggs, colby jack cheese, avocado, salsa, sour cream]",burrito
Make-Ahead-Breakfast-Burritos-471469,Make Ahead Breakfast Burritos,5,2100.0,[Breakfast and Brunch],,"[large eggs, cheese, breakfast sausages, flour tortillas]",burrito
Kid-Approved-Breakfast-Burritos-1036935,Kid Approved Breakfast Burritos,4,1800.0,[Breakfast and Brunch],,"[eggs, water, cheddar cheese, salt, black pepper, flour tortillas]",burrito
Chipotle-Chicken-Burrito-1025990,Chipotle Chicken Burrito,4,2400.0,[Lunch and Snacks],,"[chipotle, rice, canned black beans, cilantro leaves, flour tortillas, cooking oil, colby jack cheese, romaine lettuce leaves, roma tomatoes]",burrito
Chicken-Burritos-My-Recipes,Chicken Burritos,4,,"[Lunch and Snacks, Main Dishes]","[Southwestern, American, Mexican]","[vegetable oil, onions, clove garlic, fine chop, cooked chicken, salt, flour tortillas, iceberg lettuce, tomato salsa, shredded cheddar cheese]",burrito
Crispy-Fiesta-Chicken-Burrito-Wraps-1353927,Crispy Fiesta Chicken Burrito Wraps,4,1200.0,,,"[large flour tortillas, sour cream, oil, sauce, chicken]",burrito
Vegetarian-Black-Bean-Burritos-1033884,Vegetarian Black Bean Burritos,5,1500.0,[Main Dishes],"[Southwestern, Mexican]","[water, fresh lime juice, chili powder, cumin, black pepper, cayenne pepper, canned black beans, green onions, salsa, red bell pepper, zucchini, corn, chopped cilantro, salt, pepper, flour tortillas, monterey jack, olive oil]",burrito
Italian-beef-burritos-298791,Italian Beef Burritos,4,1200.0,"[Lunch and Snacks, Main Dishes]",[Mexican],"[ground beef, chili powder, chunky pasta sauce, regular or convert rice, flour tortillas, shredded mozzarella cheese]",burrito
Easy-Breakfast-Burritos-1290893,Easy Breakfast Burritos,3,2100.0,[Breakfast and Brunch],,"[eggs, Old El Paso™ chopped green chiles, milk, breakfast sausage links, brown hash potato, Old El Paso Flour Tortillas, Mexican cheese blend]",burrito
Super-Simple-Burritos-1371524,Super Simple Burritos,4,1800.0,[Main Dishes],[Mexican],"[ground beef, sea salt, shredded cheese, salsa, whole wheat tortillas, pinto beans, chopped onion, chili powder, olives, sweet corn]",burrito
Breakfast-Burrito-Martha-Stewart-195693,Breakfast Burrito,4,900.0,[Breakfast and Brunch],"[American, Mexican]","[flour tortillas, large eggs, large egg whites, coarse salt, olive oil, pepper jack, pepper sauce]",burrito
Chipotle-Bean-Burritos-MyRecipes-247047,Chipotle Bean Burritos,5,1800.0,[Main Dishes],"[Southwestern, American]","[canola oil, garlic cloves, chipotle chile powder, salt, water, black beans, kidney beans, salsa, flour tortillas, Mexican cheese blend, plum tomatoes, romaine lettuce, sliced green onions, light sour cream]",burrito
