id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Homemade-Crepes-1101707,Homemade Crepes,4,3600.0,[Breakfast and Brunch],,"[large eggs, milk, water, all-purpose flour, salt, melted butter, butter]",crepes
Saturday-Morning-Crepe-1322774,Saturday Morning Crepe,4,2400.0,[Breakfast and Brunch],,"[eggs, milk, water, all-purpose flour, butter, liqueur, vanilla extract, sugar, frozen raspberries, corn starch, egg yolks, flour]",crepes
CREPES-WITH-STRAWBERRIES-AND-CREAM-1373232,CREPES WITH STRAWBERRIES AND CREAM,4,3600.0,[Desserts],,"[eggs, butter, sugar, all-purpose flour, milk, water, vanilla, salt, cream cheese, sour cream, powdered sugar]",crepes
Crepes-Allrecipes_1,Crepes,5,1800.0,"[Lunch and Snacks, Breakfast and Brunch]",[French],"[all-purpose flour, milk, eggs, salt]",crepes
Crepes-1041784,Crepes,4,3000.0,[Breakfast and Brunch],,"[large eggs, milk, water, flour, melted butter]",crepes
_Recipe_-Caramel-Apple-Crepes-1363964,{Recipe} Caramel Apple Crepes,4,2100.0,[Breakfast and Brunch],,"[flour, salt, eggs, milk, melted butter, butter, apples, pears, cinnamon, brown sugar, water]",crepes
Boston-Cream-Crepe-Cake-1365882,Boston Cream Crepe Cake,4,5400.0,[Desserts],,"[crepe batter, large eggs, butter, milk, vanilla, sugar, salt, all-purpose flour, granulated sugar, flour, egg yolks, vanilla bean paste, whipping cream, milk chocolate, cream]",crepes
Savory-Crepes-_-_-1354222,Savory Crepes (Блинчики с Мясом),3,5100.0,[Main Dishes],,"[crepes, chuck, mushrooms, onions, carrots, sushi rice, broth, salt, pepper, oil, eggs, milk]",crepes
Peanut-Butter-and-Cinnamon-Apple-Crepes-632988,Peanut Butter and Cinnamon Apple Crepes,3,3900.0,[Breakfast and Brunch],[Kid-Friendly],"[crepes, milk, all-purpose flour, natural peanut butter, large eggs, water, butter, golden delicious apples, sugar, dates, ground cinnamon, cooking spray, vanilla yogurt, cinnamon sugar]",crepes
Easy-Homemade-Crepes-1355915,Easy Homemade Crepes,4,2100.0,[Breakfast and Brunch],,"[eggs, milk, melted butter, flour, salt, vanilla, Nutella, jelly sugar, butter]",crepes
Sweet-Blender-Crepes-1093597,Sweet Blender Crepes,4,360.0,[Breakfast and Brunch],,"[large eggs, milk, water, flour, melted butter, sugar, vanilla]",crepes
Nutella-Crepes-1167052,Nutella Crepes,4,2700.0,"[Desserts, Breakfast and Brunch]",,"[melted butter, large eggs, milk, water, flour, sugar, butter, Nutella]",crepes
Homemade-Pumpkin-Crepes-1275693,Homemade Pumpkin Crepes,3,3000.0,[Breakfast and Brunch],,"[eggs, flour, milk, water, melted butter, solid pack pumpkin, cream cheese, heavy whipping cream, powdered sugar, pumpkin pie spice]",crepes
Chocolate-Crepes-1100695,Chocolate Crepes,4,2700.0,[Desserts],,"[eggs, milk, vanilla, flour, cocoa powder, sugar, salt]",crepes
Crepes-with-Greek-Yogurt-Cream-960133,Crepes with Greek Yogurt Cream,4,3600.0,[Breakfast and Brunch],,"[apricot preserves, crepes, water, milk, large eggs, unsalted butter, all-purpose flour, sugar, salt, greek yogurt, low-fat yogurt, cream cheese, granulated sugar]",crepes
Crepes-de-Paris-1348919,Crêpes de Paris,4,2700.0,[Desserts],,"[butter, milk, eggs, all-purpose flour, white sugar, salt, Nutella, preserves, fruit, powdered sugar]",crepes
Bacon-_-Egg-Crepes-985104,Bacon & Egg Crepes,4,1800.0,[Breakfast and Brunch],,"[crepes, eggs, center cut bacon, shredded cheese]",crepes
Apple-Crepes-1158369,Apple Crepes,3,1800.0,[Desserts],,"[unsalted butter, gala apples, sugar, ground cinnamon, salt, large eggs, milk, all-purpose flour, vegetable oil, mascarpone]",crepes
Hazelnut-Crepes-960039,Hazelnut Crepes,4,1500.0,[Breakfast and Brunch],,"[hazelnut flour, all-purpose flour, sugar, cinnamon, salt, eggs, milk, unsalted butter, vanilla extract]",crepes
Crepes-626657,Crepes,3,2700.0,[Breakfast and Brunch],,"[eggs, milk, sugar, flour, oil]",crepes
Nutella-Crepes-Martha-Stewart-239209,Nutella Crepes,4,2400.0,[Desserts],,"[unsalted butter, crepes, Nutella, confectioners sugar]",crepes
Cannoli-crepes-357228,Cannoli Crepes,5,1500.0,[Desserts],,"[crepes, ricotta, roasted almonds, confectioners sugar, chocolate chips, raspberries]",crepes
