id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Bacon-_-Tot-Casserole-1342830,Bacon & Tot Casserole,4,3300.0,[Breakfast and Brunch],,"[frozen tater tots, eggs, thick-cut bacon, green onions, shredded cheddar cheese, shredded pepper jack cheese, salt, pepper]",casserole
Au-Gratin-Potato-Casserole-1362673,Au Gratin Potato Casserole,4,4500.0,[Side Dishes],,"[whole milk, cream, flour, salt, ground black pepper, russet potatoes, shredded cheddar cheese, cornflakes, butter, fresh parsley]",casserole
Carrot-Casserole-1373480,Carrot Casserole,4,3300.0,,,"[cottage cheese, carrots, eggs, kefir, semolina, brown sugar, vanilla]",casserole
No-Boil-Candied-Sweet-Potato-Casserole-1378922,No Boil Candied Sweet Potato Casserole,4,4500.0,[Side Dishes],,"[sweet potatoes, water, butter, brown sugar, cinnamon, salt, mini marshmallows]",casserole
Crockpot-Cheesy-Hashbrown-Casserole-1362925,Crockpot Cheesy Hashbrown Casserole,4,15000.0,[Side Dishes],,"[potatoes, onions, mushroom soup, shredded cheddar cheese, cream cheese, butter, salt, pepper]",casserole
Crockpot-Green-Bean-Casserole-1380255,Crockpot Green Bean Casserole,4,18600.0,[Side Dishes],,"[green beans, cream of chicken soup, milk, parmesan cheese, salt, black pepper, french fried onions]",casserole
Crock-Pot-Ravioli-Meatball-Casserole-1380367,Crock Pot Ravioli Meatball Casserole,4,7500.0,[Main Dishes],,"[frozen meatballs, frozen cheese ravioli, pizza sauce, mushrooms, shredded mozzarella cheese]",casserole
Mexican-Chicken-Casserole-with-Cheddar-Cheese-and-Tomatoes-1379356,Mexican Chicken Casserole with Cheddar Cheese and Tomatoes,4,3000.0,[Main Dishes],[Mexican],"[cream of chicken soup, cheddar cheese soup, cream of mushroom soup, tomatoes, chicken, flour tortillas, shredded cheddar cheese]",casserole
Crock-Pot-Breakfast-Casserole-1361206,Crock Pot Breakfast Casserole,3,2100.0,[Breakfast and Brunch],,"[frozen hash browns, bacon, onions, shredded sharp cheddar cheese, red bell pepper, green bell pepper, eggs, milk]",casserole
Lasagna-Casserole-1357168,Lasagna Casserole,4,2100.0,[Main Dishes],,"[onions, italian seasoning, hamburger, sugar, ground black pepper, penne, Hunts Tomato Sauce, water]",casserole
Make-Ahead-Crockpot-Corn-Casserole-1368348,Make Ahead Crockpot Corn Casserole,4,22200.0,[Side Dishes],,"[frozen corn kernels, cream style corn, sweet onion, cream cheese, butter, milk, butter crackers, pepper, salt, cooking spray]",casserole
Cheesy-Spinach-Potato-Casserole-1367650,Cheesy Spinach Potato Casserole,4,3480.0,[Side Dishes],,"[red potato, unsweetened almond milk, spinach, cheese]",casserole
4-Ingredient-Potato-Casserole-1346011,4 Ingredient Potato Casserole,3,3000.0,[Side Dishes],,"[hash brown, whipping cream, shredded cheddar cheese, green onions, salt, pepper]",casserole
Baked-Potato-Casserole-1370357,Baked Potato Casserole,4,3900.0,[Side Dishes],,"[potatoes, Velveeta, mayonnaise, green onions, bacon pieces]",casserole
Sweet-Potato-Casserole-Stacks-1368678,Sweet Potato Casserole Stacks,4,3900.0,,,"[sweet potatoes, canola oil, light butter, light pancake syrup, vanilla extract, salt, flour, brown sugar, chopped pecans]",casserole
Butternut-Squash-Enchilada-Casserole-1374494,Butternut Squash Enchilada Casserole,4,4800.0,[Main Dishes],[Mexican],"[butternut squash, yellow onion, poblano peppers, jalapeno chilies, oil, ground cumin, pepper, salt, black beans, cilantro, baby spinach leaves, salsa, corn tortillas, Mexican cheese]",casserole
Garlic-Herb-Potatoes-and-Squash-1379025,Garlic Herb Potatoes and Squash,4,5400.0,[Side Dishes],,"[potatoes, butternut squash, butter, milk, corn starch, cheddar cheese]",casserole
Egg-_-Sausage-Breakfast-Casserole-1378621,Egg & Sausage Breakfast Casserole,4,3300.0,[Breakfast and Brunch],,"[pork sausages, all-purpose flour, salt, baking powder, low-fat cottage cheese, eggs, shredded cheddar cheese, diced green chilies]",casserole
Cheesy-Vegetable-Casserole-1371264,Cheesy Vegetable Casserole,4,3900.0,[Side Dishes],,"[vegetables, chopped onion, melted butter, mayonnaise, sour cream, shredded cheese, sea salt, ground pepper, garlic powder]",casserole
Ham-_-Rigatoni-Casserole-1365681,Ham & Rigatoni Casserole,3,3000.0,[Main Dishes],,"[ham, rigatoni, white sauce mix, swiss cheese, dijon style mustard, frozen spinach, hot pepper sauce]",casserole
Texas-Breakfast-Casserole-1363906,Texas Breakfast Casserole,4,3900.0,[Breakfast and Brunch],,"[butter, onions, frozen chopped spinach, pepper, nutmeg, Pillsbury Biscuits, parmesan cheese, eggs, milk]",casserole
Country-Style-Biscuits-and-Gravy-Casserole-1369312,Country-Style Biscuits and Gravy Casserole,3,600.0,[Breakfast and Brunch],,"[sausages, gravy mix, cheddar cheese, eggs, milk, salt, pepper, buttermilk biscuits]",casserole
Mashed-Potato-Casserole-1373787,Mashed Potato Casserole,4,3300.0,[Side Dishes],,"[butter, green onions, orange bell pepper, water, whole milk, mashed potatoes, shredded cheddar cheese]",casserole
Spinach-Cheddar-Casserole-1365103,Spinach Cheddar Casserole,4,3600.0,,,"[eggs, kosher salt, pepper, frozen chopped spinach, cottage cheese, green onions, sharp cheddar cheese, all-purpose flour, fresh dill]",casserole
O-Brien-Potato-Casserole-1344121,O Brien Potato Casserole,4,600.0,[Side Dishes],,"[Potatoes O'Brien, shredded cheddar cheese, sour cream, onions, cream of celery soup, french fried onions]",casserole
Cheddar-Ham-And-Veggie-Crockpot-Casserole-1375714,Cheddar Ham And Veggie Crockpot Casserole,3,11400.0,[Main Dishes],,"[eggs, half & half, crushed red pepper flakes, salt, pepper, cheddar cheese, broccoli florets, red bell pepper, ham]",casserole
Chicken-Gloria-Casserole-1367354,Chicken Gloria Casserole,4,3900.0,[Main Dishes],,"[chicken breasts, all-purpose flour, vegetable oil, sauce, butter, fresh mushrooms, flour, chicken broth, sherry wine, milk, thyme, cheese, fresh parsley, black pepper, salt]",casserole
French-Toast-Casserole-1352854,French Toast Casserole,4,4200.0,[Breakfast and Brunch],,"[french bread, eggs, milk, half & half, vanilla sugar, vanilla extract, brown sugar, all-purpose flour, butter, cinnamon, pure maple syrup]",casserole
Tuna-Casserole-1353457,Tuna Casserole,3,3600.0,[Main Dishes],,"[macaroni, olive oil, celery, yellow onion, sliced mushrooms, all-purpose flour, low sodium chicken broth, whole milk, garlic powder, mustard powder, salt, black pepper, monterey jack, albacore tuna in water, frozen peas, bread crumbs]",casserole
Slow-Cooked-Sausage-And-Onion-Casserole-1367514,Slow Cooked Sausage And Onion Casserole,3,18600.0,[Main Dishes],,"[olive oil, sausages, onions, plain flour, beef stock, chutney, worcestershire sauce, black pepper]",casserole
Unbelievably-Easy-Chicken-and-Rice-Casserole-1380516,Unbelievably Easy Chicken and Rice Casserole,3,2700.0,[Main Dishes],,"[diced chicken, mayonnaise, diced celery, minute rice, slivered almonds, lemon juice, eggs, cream of chicken soup, onions, salt, crushed cornflakes, butter]",casserole
Easy-Chicken-Enchilada-Casserole-500471,Easy Chicken Enchilada Casserole,4,3900.0,[Main Dishes],[Mexican],"[enchilada sauce, shredded Monterey Jack cheese, corn tortillas, chicken breasts]",casserole
Eggnog-Breakfast-Casserole-1372141,Eggnog Breakfast Casserole,4,2100.0,[Breakfast and Brunch],,"[croissants, cooking spray, eggs, eggnog, vanilla extract, cinnamon, nutmeg, salt, brown sugar]",casserole
Chicken-Casserole-With-Mushrooms-1373506,Chicken Casserole With Mushrooms,4,5100.0,[Main Dishes],,"[chicken breasts, flour, olive oil, mushrooms, onions, clove, salt]",casserole
Chicken-and-Stuffing-Casserole-1355958,Chicken and Stuffing Casserole,4,4200.0,[Main Dishes],,"[chicken, chicken stock, white sandwich bread, onions, celery, poultry seasoning, butter, salt, pepper]",casserole
Meatball-Sub-Casserole-1353541,Meatball Sub Casserole,3,3900.0,[Main Dishes],,"[olive oil, bread, cream cheese, garlic powder, dried oregano, dried basil, salt, pepper flakes, shredded mozzarella cheese, italian-style meatballs, marinara sauce]",casserole
Apple-Cheese-Casserole-1366721,Apple-Cheese Casserole,3,2700.0,,,"[apples, sugar, self rising flour, sharp cheddar cheese, butter]",casserole
Spicy-Stew-Beef-and-Squash-Casserole-1377035,Spicy Stew Beef and Squash Casserole,3,3000.0,[Main Dishes],,"[stewing beef, smoked paprika, sea salt, ground cinnamon, ground ginger, red pepper flakes, peppercorns, olive oil, garlic cloves, butternut squash, green onions]",casserole
